Index,job_title,mean_sal_est,company,Location,State,col_state,Headquarters,Size,Founded,Industry
280,Consumer Lending Data Analyst,$87 ,"Informa Intelligence
3.8","New York, NY",NY,100.1,"London, United Kingdom",1001 to 5000 employees,1998,Consulting
281,Encounter Data Analyst,$87 ,"Integra Managed Care
3.5","Lake Success, NY",NY,100.1,"Lake Success, NY",501 to 1000 employees,-1,Health Care Services & Hospitals
282,Business Analyst/PM/Data Analyst - Investment Bank,$87 ,"RMS Computer
3.0","Jersey City, NJ",NJ,102,"New York, NY",201 to 500 employees,1985,Computer Hardware & Software
181,Data/Report Analyst,$85 ,"Lorven Technologies Inc
4.0","New York, NY",NY,100.1,"Plainsboro, NJ",1 to 50 employees,-1,Accounting
182,Senior Data Analyst,$85 ,"Bounce Exchange
4.1","New York, NY",NY,100.1,"New York, NY",201 to 500 employees,2012,Advertising & Marketing
183,Human Capital Data Analyst,$85 ,"Green Key Resources
4.5","New York, NY",NY,100.1,"New York, NY",201 to 500 employees,2004,Staffing & Outsourcing
184,GIS Data analyst,$85 ,"22nd Century Technologies
3.7","New York, NY",NY,100.1,"Somerset, NJ",1001 to 5000 employees,1997,IT Services
185,Junior Data Analytics Solutions Analyst,$85 ,"Praescient Analytics
3.1","New York, NY",NY,100.1,"Alexandria, VA",51 to 200 employees,2011,Consulting
186,Data Analyst,$85 ,"Capgemini America, Inc.","Jersey City, NJ",NJ,102,-1,-1,-1,-1
187,Data Analyst w/Capital Markets,$85 ,"Software Guidance & Assistance
3.7","Jersey City, NJ",NJ,102,"Tarrytown, NY",51 to 200 employees,1981,Staffing & Outsourcing
188,"VP, Research Project Analyst/Data Management",$85 ,"Citi
3.7","New York, NY",NY,100.1,"New York, NY",10000+ employees,1812,Investment Banking & Asset Management
189,Food Data Analyst,$85 ,"Metropolitan Council on Jewish Poverty
3.2","New York, NY",NY,100.1,"New York, NY",201 to 500 employees,-1,Social Assistance
190,Data Management Analyst,$85 ,"TSR Consulting
3.6","New York, NY",NY,100.1,"Hauppauge, NY",201 to 500 employees,1969,Staffing & Outsourcing
191,Data Governance Analyst,$85 ,"UBS
3.6","Weehawken, NJ",NJ,102,"Zurich, Switzerland",10000+ employees,1862,Investment Banking & Asset Management
192,"Data Analyst, Enterprise Analytics",$85 ,"Take-Two Interactive Software, Inc.
3.7","New York, NY",NY,100.1,"New York, NY",1001 to 5000 employees,1993,Video Games
193,Data Analytics Solutions Analyst - Mid with Security Clearance,$85 ,"Praescient Analytics
3.1","New York, NY",NY,100.1,"Alexandria, VA",51 to 200 employees,2011,Consulting
194,Data Analyst Assistant,$85 ,Teus Health,"Newark, NJ",NJ,102,-1,-1,-1,-1
195,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,$85 ,"Morgan Stanley
3.8","New York, NY",NY,100.1,"New York, NY",10000+ employees,1935,Investment Banking & Asset Management
196,Data Collection Analyst,$85 ,"ICAP at Columbia University
4.1","New York, NY",NY,100.1,"New York, NY",501 to 1000 employees,2003,Health Care Services & Hospitals
197,Data Collection Analyst,$85 ,"Columbia University Medical Center
3.8","New York, NY",NY,100.1,"New York, NY",5001 to 10000 employees,-1,Health Care Services & Hospitals
198,Sr Business /Data Analyst- Reference data,$85 ,"Xoriant Corporation
3.7","Jersey City, NJ",NJ,102,"Sunnyvale, CA",1001 to 5000 employees,1990,IT Services
199,Data Analyst,$85 ,"The Denzel Group
4.7","South Plainfield, NJ",NJ,102,"Allentown, PA",1 to 50 employees,-1,-1
200,SENIOR DATA ANALYST,$85 ,"Montefiore Medical
3.7","New York, NY",NY,100.1,"Bronx, NY",10000+ employees,1884,Health Care Services & Hospitals
201,Senior Data Analyst / Scientist,$85 ,"Cedent Consulting
3.3","New York, NY",NY,100.1,"Frisco, TX",1 to 50 employees,-1,Consulting
202,Senior Data Analyst - Regulatory Reporting,$85 ,"ACS
3.4","New York, NY",NY,100.1,"Moore, OK",1 to 50 employees,-1,General Repair & Maintenance
203,Data Reporting Analyst,$85 ,"NADAP
3.2","New York, NY",NY,100.1,"New York, NY",201 to 500 employees,1971,Social Assistance
204,Data Governance Analyst,$85 ,SGA Inc.,"New York, NY",NY,100.1,"Bethesda, MD",1 to 50 employees,1996,Architectural & Engineering Services
205,Data Analyst,$85 ,Newspaper Administration,"New York, NY",NY,100.1,-1,-1,-1,-1
206,Senior Data Analyst (6-12 Month Contract-Remote),$85 ,"VISTRADA
5.0","New York, NY",NY,100.1,"New York, NY",1 to 50 employees,-1,Advertising & Marketing
207,"Principal Data Analyst, LATAM – Disney Streaming Services",$85 ,"Disney Streaming Services
3.6","New York, NY",NY,100.1,"New York, NY",501 to 1000 employees,2018,Internet
208,Data Analyst- Win 10 Migration- NYC,$85 ,"Royal Communications Consultants Inc
3.0","New York, NY",NY,100.1,"New York, NY",1 to 50 employees,-1,IT Services
209,Data Analyst (35 hours/week),$85 ,"CASES
3.5","New York, NY",NY,100.1,"Brooklyn, NY",201 to 500 employees,1989,Social Assistance
210,Tech Business/Data Analyst,$85 ,"Sphinix Network Solutions Inc.
1.0","New York, NY",NY,100.1,"New York, NY",1 to 50 employees,-1,IT Services
1231,Senior Data Analyst,$81 ,"Convene Technologies
3.3","San Antonio, TX",TX,89.1,"Tampa, FL",51 to 200 employees,2005,IT Services
1232,Data Security Analyst,$81 ,Cyber Warrior Network,"San Antonio, TX",TX,89.1,"San Antonio, TX",1 to 50 employees,2015,IT Services
1233,Data Security Analyst,$81 ,"nana
2.6","San Antonio, TX",TX,89.1,"Kotzebue, AK",1001 to 5000 employees,1991,Social Assistance
1234,Data Security Analyst,$81 ,"Akima Management Services
3.3","San Antonio, TX",TX,89.1,"Herndon, VA",5001 to 10000 employees,2003,Aerospace & Defense
1235,Data Analyst/Engineers,$81 ,"Diverse Lynx
3.9","San Antonio, TX",TX,89.1,"Princeton, NJ",501 to 1000 employees,2002,IT Services
1236,Senior Contract Data Analyst,$81 ,"Amyx, Iinc.","San Antonio, TX",TX,89.1,-1,-1,-1,-1
1237,Epidemiology Data Analyst,$81 ,"Chenega Healthcare Services
3.8","San Antonio, TX",TX,89.1,"San Antonio, TX",501 to 1000 employees,1974,Staffing & Outsourcing
1238,IT Data Science Analyst,$81 ,"Kforce
4.1","San Antonio, TX",TX,89.1,"Tampa, FL",10000+ employees,1966,Staffing & Outsourcing
1239,"Configuration Data Analyst, (Secret Clearance Required) San Antonio, TX, US ID",$81 ,"Cherokee Nation Businesses, LLC
3.2","San Antonio, TX",TX,89.1,"Catoosa, OK",1001 to 5000 employees,-1,Accounting
1240,TECHNICAL DATA ANALYST,$81 ,"Spectrum Comm
3.8","Lackland AFB, TX",TX,89.1,"Newport News, VA",51 to 200 employees,1999,Aerospace & Defense
1241,Senior Contract Data Analyst,$81 ,"Amyx, Inc.
4.0","San Antonio, TX",TX,89.1,"Reston, VA",501 to 1000 employees,1999,IT Services
1242,"Configuration Data Analyst, (Secret Clearance Required) San An with Security Clearance",$81 ,Cherokee Federal,"San Antonio, TX",TX,89.1,"Rusk, TX",1 to 50 employees,-1,Banks & Credit Unions
1243,Senior Risk Analyst-Data,$81 ,"Peyton Resource Group
3.9","San Antonio, TX",TX,89.1,"Irving, TX",1 to 50 employees,2001,Staffing & Outsourcing
1244,Functional Analyst (CECL Data),$81 ,"Softcom Systems
4.4","San Antonio, TX",TX,89.1,"Princeton, NJ",1 to 50 employees,-1,IT Services
1245,Data Analyst with Security Clearance,$81 ,"CDO Technologies Inc
3.3","San Antonio, TX",TX,89.1,"Dayton, OH",201 to 500 employees,1995,Computer Hardware & Software
1246,"Configuration Data Analyst, San Antonio, TX, US ID#17897 with Security Clearance",$81 ,Cherokee Federal,"Fort Sam Houston, TX",TX,89.1,"Rusk, TX",1 to 50 employees,-1,Banks & Credit Unions
1247,"(REMOTE) Sr. Risk Analyst (IT, IS and/or Data expertise)",$81 ,"Strategic Staffing Solutions
3.1","San Antonio, TX",TX,89.1,"Detroit, MI",1001 to 5000 employees,1990,Staffing & Outsourcing
1248,"Sr. Risk Analyst (IT, IS and/or Data expertise)",$81 ,"Strategic Staffing Solutions
3.1","San Antonio, TX",TX,89.1,"Detroit, MI",1001 to 5000 employees,1990,Staffing & Outsourcing
487,Tactical Data Link (TDL) Analyst,$81 ,"Oasis Systems
3.8","Hampton, VA",VA,94.5,"Burlington, MA",1001 to 5000 employees,1997,IT Services
488,Sr Data Business Analyst - FacilitySource,$81 ,"CBRE
3.7","Chesapeake, VA",VA,94.5,"Los Angeles, CA",10000+ employees,1906,Real Estate
489,Acoustics Data Analyst/Flight Test Engineer,$81 ,"Analytical Mechanics Associates
3.5","Hampton, VA",VA,94.5,"Hampton, VA",201 to 500 employees,1962,Consulting
490,Senior Data Analyst,$81 ,"Bluemont Technology & Research, Inc.
1.0","Norfolk, VA",VA,94.5,"Mc Lean, VA",1 to 50 employees,-1,-1
491,Senior Data Analyst- Secret Clearance,$81 ,"Counter Threat Solutions
5.0","Norfolk, VA",VA,94.5,"Reston, VA",51 to 200 employees,2015,Consulting
492,Senior Data Management Analyst (SDMA),$81 ,"National Capitol Contracting (NCC)
3.2","Norfolk, VA",VA,94.5,"Mc Lean, VA",51 to 200 employees,2002,Telecommunications Services
493,Data Analyst - Senior Consultant,$81 ,"Guidehouse
3.4","Norfolk, VA",VA,94.5,"Washington, DC",5001 to 10000 employees,2018,Consulting
494,Data Warehouse Programmer/Analyst,$81 ,"AXSEUM Inc
3.1","Fort Eustis, VA",VA,94.5,"Alexandria, VA",51 to 200 employees,2002,Consulting
495,Data Analyst (Navy) - Mid and Junior Level,$81 ,"Tamayo Federal Solutions, LLC","Portsmouth, VA",VA,94.5,-1,-1,-1,-1
496,"Data Analyst - Senior Consultant - Norfolk, VA with Security Clearance",$81 ,"Guidehouse
3.4","Norfolk, VA",VA,94.5,"Washington, DC",5001 to 10000 employees,2018,Consulting
497,Program Analyst - AIS/Maintenance Data System Coordinator,$81 ,"Epsilon Systems Solutions, Inc.
3.5","Norfolk, VA",VA,94.5,"San Diego, CA",501 to 1000 employees,1998,Commercial Equipment Repair & Maintenance
498,MSC Logistics Data Analyst,$81 ,"CACI International
3.6","Norfolk, VA",VA,94.5,"Arlington, VA",10000+ employees,1962,Aerospace & Defense
499,Data Analyst (Navy) - Mid Level,$81 ,"Tamayo Federal Solutions, LLC","Portsmouth, VA",VA,94.5,-1,-1,-1,-1
500,Business Intelligence & Data Analyst,$81 ,"PROSOFT
3.7","Norfolk, VA",VA,94.5,"Virginia Beach, VA",201 to 500 employees,-1,IT Services
501,Sr Data Business Analyst - FacilitySource,$81 ,"FacilitySource
3.6","Chesapeake, VA",VA,94.5,"Phoenix, AZ",1001 to 5000 employees,2001,Building & Personnel Services
502,Senior Data Analyst (Navy),$81 ,"Tamayo Federal Solutions, LLC","Portsmouth, VA",VA,94.5,-1,-1,-1,-1
503,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC with Security Clearance,$81 ,"Universal Consulting Services
3.3","Norfolk, VA",VA,94.5,"Fairfax, VA",201 to 500 employees,2000,IT Services
504,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC).,$81 ,"Universal Consulting Services, Inc.
3.3","Norfolk, VA",VA,94.5,"Fairfax, VA",201 to 500 employees,2000,IT Services
1888,Data Visualization Analyst,$81 ,"Autodesk
4.0","San Francisco, CA",CA,102.9,"San Rafael, CA",5001 to 10000 employees,1982,Computer Hardware & Software
1889,Digital Marketing & ECommerce Data Analyst,$81 ,"Vionic Group
3.6","San Rafael, CA",CA,102.9,"San Rafael, CA",51 to 200 employees,2006,"Department, Clothing, & Shoe Stores"
1890,Senior Data Analyst,$81 ,"Life360
3.9","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2008,Internet
1891,Data Analyst,$81 ,"NCSOFT
3.0","San Mateo, CA",CA,102.9,"Seoul, South Korea",1001 to 5000 employees,1997,Video Games
1892,Senior Data Analyst,$81 ,"Autodesk
4.0","San Francisco, CA",CA,102.9,"San Rafael, CA",5001 to 10000 employees,1982,Computer Hardware & Software
1893,Data Analyst,$81 ,"LaunchDarkly
5.0","Oakland, CA",CA,102.9,"Oakland, CA",51 to 200 employees,2014,Enterprise Software & Network Solutions
1894,Data Analyst,$81 ,"Edmodo
3.8","San Mateo, CA",CA,102.9,"San Mateo, CA",51 to 200 employees,2008,Education Training Services
1895,Data Analyst,$81 ,"Doximity
4.6","San Francisco, CA",CA,102.9,"San Francisco, CA",201 to 500 employees,2011,Enterprise Software & Network Solutions
1896,Sr. Data Analyst (Marketing Department),$81 ,"Freedom Financial Network
3.5","San Mateo, CA",CA,102.9,"San Mateo, CA",1001 to 5000 employees,2002,Investment Banking & Asset Management
1897,Immediate Need For Data Analyst,$81 ,"AppleOne
3.3","San Francisco, CA",CA,102.9,"Glendale, CA",1001 to 5000 employees,1964,Staffing & Outsourcing
1898,"Senior Analyst, Data & Analytics",$81 ,"PubNub
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2011,Internet
1899,Data Analyst/Engineer,$81 ,"SigmaWay
4.1","San Francisco, CA",CA,102.9,"New Delhi, India",1 to 50 employees,-1,-1
1900,Mid-Level Data Analyst,$81 ,"Giving Assistant
4.8","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,2014,Advertising & Marketing
1901,Data Analyst,$81 ,"nWay
3.7","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,2011,Computer Hardware & Software
1902,Healthcare Data Analyst,$81 ,"Perficient
3.6","San Francisco, CA",CA,102.9,"Saint Louis, MO",1001 to 5000 employees,1998,IT Services
1903,Data Analyst,$81 ,"Mindstrong
3.6","San Francisco, CA",CA,102.9,"Mountain View, CA",51 to 200 employees,2014,IT Services
1904,Product Data Analyst,$81 ,"LiveCareer
3.9","San Francisco, CA",CA,102.9,"Guaynabo, PR",501 to 1000 employees,2005,Internet
1905,Data Analyst,$81 ,"Mondo
3.8","San Francisco, CA",CA,102.9,"New York, NY",51 to 200 employees,2000,Staffing & Outsourcing
1906,Data Analyst,$81 ,"Spin
4.0","San Francisco, CA",CA,102.9,"San Francisco, CA",501 to 1000 employees,2016,Computer Hardware & Software
1907,Temporary Part Time Data Analyst (Remote - North & South America),$81 ,"Elevate Labs
5.0","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,-1,Computer Hardware & Software
1908,Data Analyst (Finance),$81 ,"Deliverr Inc
4.9","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2017,Logistics & Supply Chain
1909,Data Analyst,$81 ,"Angaza
4.6","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2010,Enterprise Software & Network Solutions
1910,User Acquisition Data Analyst,$81 ,"Mondo
3.8","San Francisco, CA",CA,102.9,"New York, NY",51 to 200 employees,2000,Staffing & Outsourcing
1911,Data Analyst,$81 ,"Snowflake Computing
4.0","San Mateo, CA",CA,102.9,"San Mateo, CA",1001 to 5000 employees,2012,Enterprise Software & Network Solutions
1912,"Data Analyst, Remote East Coast",$81 ,"CBRE
3.7","San Francisco, CA",CA,102.9,"Los Angeles, CA",10000+ employees,1906,Real Estate
1913,Data Analyst,$81 ,"Duetto
4.5","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2012,Enterprise Software & Network Solutions
1914,Data Analyst Chemist - Quality System Contractor,$81 ,"Rodan and Fields, LLC
2.3","San Francisco, CA",CA,102.9,"San Francisco, CA",501 to 1000 employees,2002,Beauty & Personal Accessories Stores
571,Data Analyst,$80 ,"Cenergy International
3.2","Irwindale, CA",CA,102.9,"Houston, TX",51 to 200 employees,-1,Consulting
572,Marketing Data Analyst,$80 ,"Scale Media
5.0","Los Angeles, CA",CA,102.9,"Sherman Oaks, CA",1 to 50 employees,-1,Advertising & Marketing
573,Data and Policy Analyst - Writer/Coordinator,$80 ,"Acumen
3.2","Los Angeles, CA",CA,102.9,"Burlingame, CA",201 to 500 employees,1996,Federal Agencies
574,Sr. Data/Report System Analyst,$80 ,"Cedars-Sinai
3.9","Beverly Hills, CA",CA,102.9,"Los Angeles, CA",10000+ employees,1902,Health Care Services & Hospitals
575,Equity Data/Research Analyst,$80 ,Selby Jennings Buyside,"Los Angeles, CA",CA,102.9,-1,-1,-1,-1
576,Senior Data Analyst,$80 ,"Mobilityware
4.5","Los Angeles, CA",CA,102.9,"Irvine, CA",51 to 200 employees,1990,Video Games
577,Data Analyst,$80 ,"Acorns
3.9","Anaheim, CA",CA,102.9,"Irvine, CA",201 to 500 employees,-1,Brokerage Services
578,Data Analyst - (Python),$80 ,"LEAPROS
5.0","Long Beach, CA",CA,102.9,"Dana Point, CA",1 to 50 employees,-1,-1
579,Data Analyst / Developer,$80 ,Kforce Technology Staffing,"Los Angeles, CA",CA,102.9,-1,-1,-1,-1
580,Data Analyst I,$80 ,"L.A. Care Health Plan
3.1","Los Angeles, CA",CA,102.9,"Los Angeles, CA",1001 to 5000 employees,1997,Health Care Services & Hospitals
581,Senior Data Analyst,$80 ,"Superior Court of California County of Los Angeles
3.6","Los Angeles, CA",CA,102.9,"Los Angeles, CA",1001 to 5000 employees,-1,Municipal Governments
582,Senior Data Analyst,$80 ,"Tillster
3.3","Los Angeles, CA",CA,102.9,"San Diego, CA",51 to 200 employees,2001,Enterprise Software & Network Solutions
583,Billingual Chinese - Data Analyst,$80 ,"Tripalink
3.7","Los Angeles, CA",CA,102.9,"Los Angeles, CA",1 to 50 employees,2016,Real Estate
584,Senior Data Analyst,$80 ,"TutorMe
4.6","Los Angeles, CA",CA,102.9,"Los Angeles, CA",51 to 200 employees,2015,Colleges & Universities
585,Reporting Data Analyst,$80 ,"Century Group (CA)
4.5","El Segundo, CA",CA,102.9,"El Segundo, CA",51 to 200 employees,1989,Staffing & Outsourcing
586,Public Policy Data Analyst,$80 ,"Netflix, Inc.
3.9","Los Angeles, CA",CA,102.9,"Los Gatos, CA",1001 to 5000 employees,1997,Internet
587,Epidemiologist Data Analyst-Urology,$80 ,"UC Davis Medical Center
3.8","Los Angeles, CA",CA,102.9,"Sacramento, CA",10000+ employees,-1,Health Care Services & Hospitals
588,Data Analyst I,$80 ,"Tarzana
3.0","Northridge, CA",CA,102.9,"Tarzana, CA",501 to 1000 employees,1971,Biotech & Pharmaceuticals
589,Data Systems Analyst,$80 ,"STAND 8 Technology Services
3.9","Los Angeles, CA",CA,102.9,"Los Angeles, CA",51 to 200 employees,2009,Consulting
590,"Data Analyst, Predictive Analytics",$80 ,"Internet Brands
3.4","Los Angeles, CA",CA,102.9,"El Segundo, CA",1001 to 5000 employees,1998,Internet
591,Data Reporting Analyst,$80 ,"Robert Half
3.5","Los Angeles, CA",CA,102.9,"Menlo Park, CA",10000+ employees,1948,Staffing & Outsourcing
592,Senior Data Analyst,$80 ,"Fox Corporation
4.0","Los Angeles, CA",CA,102.9,"New York, NY",5001 to 10000 employees,2019,TV Broadcast & Cable Networks
593,Business Data Analyst,$80 ,"Connect International
5.0","Los Angeles, CA",CA,102.9,"West Roxbury, MA",1 to 50 employees,-1,-1
594,Business Data Analyst,$80 ,"PUBG Santa Monica
4.5","Los Angeles, CA",CA,102.9,"Seoul, South Korea",501 to 1000 employees,2017,Video Games
595,Epidemiologist Data Analyst-Urology,$80 ,"UCLA Health
4.0","Los Angeles, CA",CA,102.9,"Los Angeles, CA",5001 to 10000 employees,1919,Health Care Services & Hospitals
596,Mid-Senior Data Analyst,$80 ,"Robert Half
3.5","Los Angeles, CA",CA,102.9,"Menlo Park, CA",10000+ employees,1948,Staffing & Outsourcing
597,Associate Player Support Data Analyst,$80 ,"Activision Blizzard
3.4","El Segundo, CA",CA,102.9,"Santa Monica, CA",10000+ employees,1979,Video Games
598,BI/Data Analyst,$80 ,"The Loot Company
2.1","Los Angeles, CA",CA,102.9,"Los Angeles, CA",201 to 500 employees,2012,Other Retail Stores
599,"Sr. Data Analyst, Ad Operations",$80 ,"System1
3.8","Venice, CA",CA,102.9,"Venice, CA",201 to 500 employees,2013,Internet
779,Data Analyst,$80 ,Bartech Group,"Burr Ridge, IL",IL,83.5,"South Holland, IL",51 to 200 employees,-1,Construction
780,Data Analyst,$80 ,"Lorven Technologies Inc
4.0","Chicago, IL",IL,83.5,"Plainsboro, NJ",1 to 50 employees,-1,Accounting
781,Data Analyst - Rush Infectious Diseases,$80 ,"Rush University Medical Center
3.9","Chicago, IL",IL,83.5,"Chicago, IL",5001 to 10000 employees,1837,Health Care Services & Hospitals
782,Data Analyst,$80 ,"TechUSA
2.7","Chicago, IL",IL,83.5,"Millersville, MD",1001 to 5000 employees,1998,Staffing & Outsourcing
783,Fair Lending Data Analyst,$80 ,"Alliant Credit Union
3.4","Rolling Meadows, IL",IL,83.5,"Chicago, IL",501 to 1000 employees,1935,Banks & Credit Unions
784,Data Analyst,$80 ,"Green Key Resources
4.5","Chicago, IL",IL,83.5,"New York, NY",201 to 500 employees,2004,Staffing & Outsourcing
785,Senior Research Data Analyst,$80 ,"University of Chicago
4.0","Chicago, IL",IL,83.5,"Chicago, IL",10000+ employees,1890,Colleges & Universities
786,Data Analyst,$80 ,"Accounting Aid Society
3.7","Chicago, IL",IL,83.5,"Detroit, MI",1 to 50 employees,-1,-1
787,Data Analyst,$80 ,"Roig Lawyers
4.0","Deerfield, IL",IL,83.5,"Deerfield Beach, FL",201 to 500 employees,2000,Legal
788,Data Management Analyst,$80 ,"PrivateBancorp, Inc.
3.2","Chicago, IL",IL,83.5,"Chicago, IL",10000+ employees,-1,Banks & Credit Unions
789,Data Operations Analyst,$80 ,"PDI Software
3.2","Chicago, IL",IL,83.5,"Atlanta, GA",501 to 1000 employees,1983,Enterprise Software & Network Solutions
790,Data Analyst,$80 ,TalentDash,"Chicago, IL",IL,83.5,"Singapore, Singapore",1 to 50 employees,2014,Enterprise Software & Network Solutions
791,"Data Analyst, Operations Engineering",$80 ,"Invenergy
3.8","Chicago, IL",IL,83.5,"Chicago, IL",501 to 1000 employees,2001,Energy
792,"Data Analyst, Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",$80 ,"EY
3.8","Chicago, IL",IL,83.5,"London, United Kingdom",10000+ employees,1989,Accounting
793,Business Analyst / Data Analyst,$80 ,"WIN Home Inspection
3.9","Chicago, IL",IL,83.5,"Seattle, WA",1 to 50 employees,-1,Construction
794,Master Data Analyst,$80 ,"Ferrara Candy Company
3.5","Chicago, IL",IL,83.5,"Chicago, IL",5001 to 10000 employees,1908,Food & Beverage Manufacturing
795,BI Data Analyst,$80 ,"The Accuro Group
3.0","Chicago, IL",IL,83.5,"Raleigh, NC",201 to 500 employees,2003,Staffing & Outsourcing
796,Data Quality Analyst,$80 ,"BDP International
3.0","Chicago, IL",IL,83.5,"Philadelphia, PA",1001 to 5000 employees,1966,Logistics & Supply Chain
797,Senior Data Analyst,$80 ,"Numerator
3.9","Chicago, IL",IL,83.5,"Chicago, IL",1001 to 5000 employees,2004,IT Services
798,Sr. Data Analyst,$80 ,"Mondo
3.9","Chicago, IL",IL,83.5,"New York, NY",51 to 200 employees,2000,Staffing & Outsourcing
799,Tableau Developer/Data Analyst,$80 ,"Empire Today
3.7","Northlake, IL",IL,83.5,"Northlake, IL",1001 to 5000 employees,1959,Other Retail Stores
800,Data Analyst,$80 ,El Hogar del Nino - The Home of the Child,"Chicago, IL",IL,83.5,-1,-1,-1,-1
801,Data Analyst,$80 ,"Fast Switch, LTD
4.3","Northbrook, IL",IL,83.5,"Dublin, OH",501 to 1000 employees,1996,IT Services
802,Data Analyst – Level II,$80 ,"Sphinix Solutions
1.0","Chicago, IL",IL,83.5,"New York, NY",1 to 50 employees,-1,IT Services
803,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),$80 ,"BMO Financial Group
3.7","Chicago, IL",IL,83.5,"Toronto, Canada",10000+ employees,1817,Banks & Credit Unions
804,Senior Data Analyst,$80 ,"Epiq Systems
3.6","Chicago, IL",IL,83.5,"New York, NY",5001 to 10000 employees,1988,Legal
805,Data Analyst,$80 ,"MRINetwork
4.0","Des Plaines, IL",IL,83.5,"Philadelphia, PA",1001 to 5000 employees,1965,-1
806,Senior Trading Systems Data Analyst (Chicago or NY),$80 ,"PEAK6 Investments
2.9","Chicago, IL",IL,83.5,"Chicago, IL",1001 to 5000 employees,1997,Venture Capital & Private Equity
807,Data Analyst/Programmer,$80 ,"ABS Graphics
2.5","Itasca, IL",IL,83.5,"Itasca, IL",51 to 200 employees,1982,Advertising & Marketing
513,Product Data Analyst,$79 ,"Stamps.com
3.1","El Segundo, CA",CA,102.9,"El Segundo, CA",1001 to 5000 employees,1996,Computer Hardware & Software
514,Lead Data Analyst,$79 ,"Headspace
3.6","Santa Monica, CA",CA,102.9,"Santa Monica, CA",201 to 500 employees,2010,Internet
515,Data Analytics Insights Analyst,$79 ,"Neustar
3.7","Los Angeles, CA",CA,102.9,"Sterling, VA",1001 to 5000 employees,1996,Internet
516,Data Analyst,$79 ,"Wellth Inc.
5.0","Los Angeles, CA",CA,102.9,"New York, NY",1 to 50 employees,2014,Enterprise Software & Network Solutions
517,Data Analyst,$79 ,People Tree,"Hermosa Beach, CA",CA,102.9,"Hermosa Beach, CA",1 to 50 employees,2013,Staffing & Outsourcing
518,Data Analyst,$79 ,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",CA,102.9,"Woodridge, IL",51 to 200 employees,2008,IT Services
519,Product Data & Insights Analyst,$79 ,"Ruggable
3.3","Gardena, CA",CA,102.9,"Los Angeles, CA",1 to 50 employees,-1,-1
520,Survey Data Analyst,$79 ,"First Professional Services
5.0","Los Angeles, CA",CA,102.9,"Piscataway, NJ",51 to 200 employees,2018,Internet
521,Senior Data Analyst,$79 ,"Steady
3.6","Los Angeles, CA",CA,102.9,"Atlanta, GA",1 to 50 employees,2017,Internet
522,Data Analyst,$79 ,"ConsultNet, LLC
4.3","Burbank, CA",CA,102.9,"South Jordan, UT",201 to 500 employees,1996,Staffing & Outsourcing
523,Data Analyst,$79 ,"Signal Sciences
4.3","Los Angeles, CA",CA,102.9,"Culver City, CA",51 to 200 employees,2014,Enterprise Software & Network Solutions
524,Data and Policy Analyst - Statistical Programmer,$79 ,"Acumen
3.2","Los Angeles, CA",CA,102.9,"Burlingame, CA",201 to 500 employees,1996,Federal Agencies
525,Data Analyst,$79 ,"HireTalent
4.5","Los Angeles, CA",CA,102.9,"New York, NY",201 to 500 employees,1997,Staffing & Outsourcing
526,"Senior Data Analyst, Marketing",$79 ,"Dave
4.3","Los Angeles, CA",CA,102.9,"Los Angeles, CA",1 to 50 employees,2016,Banks & Credit Unions
527,Data Analyst,$79 ,Expertise LLC,"Los Angeles, CA",CA,102.9,"Seattle, WA",1 to 50 employees,-1,-1
528,Data Analyst,$79 ,"Lorven Technologies Inc
4.0","Los Angeles, CA",CA,102.9,"Plainsboro, NJ",1 to 50 employees,-1,Accounting
529,Data Analyst,$79 ,Eleven Recruiting - CHURN,"Los Angeles, CA",CA,102.9,"Los Angeles, CA",1 to 50 employees,-1,IT Services
530,Data Analyst,$79 ,"ICONMA
3.6","Culver City, CA",CA,102.9,"Troy, MI",1001 to 5000 employees,2000,Staffing & Outsourcing
531,Data Analyst,$79 ,"HITRECORD
3.5","Los Angeles, CA",CA,102.9,"Van Nuys, CA",1 to 50 employees,-1,-1
532,Data Analyst,$79 ,"Dot818
5.0","Glendale, CA",CA,102.9,"Glendale, CA",1 to 50 employees,2011,Advertising & Marketing
533,Data Analyst,$79 ,"DatamanUSA
3.4","Los Angeles, CA",CA,102.9,"Centennial, CO",51 to 200 employees,-1,IT Services
534,Senior Database Analyst - Data Warehouse,$79 ,"Cedars-Sinai
3.9","Los Angeles, CA",CA,102.9,"Los Angeles, CA",10000+ employees,1902,Health Care Services & Hospitals
